Nhãn,Name,Numbers of Comment,Features,Rating,Numbers of Rating,Price,Loại card đồ họa,Loại CPU,Dung lượng RAM,Loại RAM,Số khe ram,Ổ cứng,Chất liệu,Bảo mật,Màn hình cảm ứng,Chất liệu tấm nền,Kích thước màn hình,Độ phân giải màn hình,Công nghệ màn hình,Webcam,Khe đọc thẻ nhớ,Hệ điều hành,Wi-Fi,Bluetooth,Công nghệ âm thanh,Tính năng đặc biệt,Pin,Kích thước,Trọng lượng,Cổng giao tiếp,Tần số quét,Loại đèn bàn phím,Hãng sản xuất,Unnamed: 34,Unnamed: 5,Loại màn hình,Unnamed: 31,Socket,Độ phân giải
Van phong,Laptop ASUS VivoBook 14X A1403ZA-KM161W,88,"Hiệu năng hàng đầu i5-12500H - Xử lý tốt các tác vụ nặng nề
8GB Ram onboard + 1 khe trống - Cho phép nâng cấp ram
Thoả sức sáng tạo - Màn hình Oled , độ phủ màu 100% DCI-P3
Bảo vệ mắt khi làm việc cả ngày dài - Màn hình đạt chứng nhận SGS Eye Care Display
",,,16.490.000₫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Van phong,Laptop Asus VivoBook S 15 OLED BAPE Edition S5504VA-MA291W,2,"Sở hữu thiết kế cá tính với họa tiết bắt mắt được khắc lên mặt A
Màn hình OLED15.6 inch cùng tần số quét 120 Hz cực nhanh
CPU Intel Core i5-13500H xử lý nhanh chóng mọi tác vụ văn phòng 
RAM 16GB giúp xử lý các tác vụ nặng và chạy nhiều ứng dụng cùng lúc mượt mà
Dung lượng SSD 512 GB đủ để lưu trữ các tập tin và dữ liệu cần thiết
",,,25.490.000₫,Intel Iris Xe Graphics,"Intel Core i5-13500H 2.6 GHz (18MB Cache, up to 4.7 GHz, 12 lõi / 16 luồng)",16GB,LPDDR5 Onboard,,"512GB M.2 NVMe PCIe 4.0 SSD
Không hỗ trợ nâng cấp",Vỏ nhựa,"McAfee LiveSafe 30 ngày dùng thử miễn phí
Cảm biến vân tay tích hợp với Power Key
McAfee LiveSafe
Khởi động BIOS bảo vệ mật khẩu người dùng
Mô-đun nền tảng đáng tin cậy (Firmware TPM)",Không,Tấm nền Oled,15.6 inches,2880 x 1620 pixels,"Thời gian phản hồi 0.2ms
Độ sáng 500nits HDR
Độ phủ màu 100% DCI-P3
VESA CERTIFIED Display HDR True Black 500
1.07 tỷ màu
TÜV Rheinland-certified
Giảm 70% ánh sáng xanh",1080p FHD với màn trập camera,,Windows 11 Home,Wi-Fi 6E (802.11ax) (Dual band) 2*2,Bluetooth 5.3,"Công nghệ khuếch đại thông minh
Loa tích hợp
Micrô mảng tích hợp
Harman/kardon (Mainstream)","Ổ cứng SSD, Wi-Fi 6, Bảo mật vân tay, Công nghệ Intel Evo","75WHrs, 2S2P, 4-cell Li-ion",35.93 x 22.94 x 1.79 ~ 1.79 cm (W x H x D),1.80 kg,"1x USB 2.0 Type-A
1x USB 3.2 Gen 1 Type-A
1x Thunderbolt 4 (display / Sạc)
1x HDMI 1.4
1x 3.5mm Combo Audio Jack
1x DC-in",120 Hz,Bàn phím Chiclet có đèn nền,,,,,,,
Sinh vien,Laptop MSI Modern 14 C12MO-660VN,11,"Thiết kế gọn nhẹ chỉ 1.4kg cơ động sẵn sàng theo bạn đi khắp nơi
CPU Intel Core i5-1235U giải quyết nhanh gọn mọi tác vụ văn phòng
RAM 16GB kết hợp ổ cứng 512GB SSD cho hiệu suất nhanh chóng, lưu trữ thoải mái
Màn hình 14 inch Full HD cùng tấm nền IPS cho khả năng hiển thị sắc nét
",,,13.490.000 đ,,"Intel Core i5-1235U (10 lõi / 12 luồng, Up to 4.4GHz)",16GB,DDR4 3200MHz Onboard,,512GB SSD M.2 PCIe NVMe Gen3 x4,,,Không,Tấm nền IPS,14 inches,1920 x 1080 pixels (FullHD),,HD Camera (30FPS 720P),Có,Windows 11 Home,Wi-Fi 6 802.11 ax,Bluetooth 5.2,,"Ổ cứng SSD, Wi-Fi 6",39Wh,319.9 x 223 x 19.35 mm,1.4 kg,"1x USB 3.2 Gen2 Type-A
2x USB 2.0
1x USB Type-C (tích hợp Display Port) hỗ trợ sạc PD
1x HDMI (4K 60Hz)
1x Đầu đọc thẻ MicroSD
1x Mic-in/ Headphone-out combo jack",,LED trắng,,,,,Intel Iris Xe Graphics,,
Van phong,Laptop Lenovo IdeaPad 3 14ITL6 82H701QVVN,9,"Sở hữu màn hình 14 inch Full HD, cùng độ sáng 300nits dễ dàng làm việc ở mọi nơi
CPU Intel Core i7-1165G7 giải quyết mọi tác vụ văn phòng, học tập
Dung lượng RAM 16 GB hỗ trợ mở mượt mà trên 10 tab Chrome cùng lúc
Ổ cứng 512GB SSD rộng rãi, hỗ trợ lưu tài liệu, lưu phim, ảnh thoải mái
Mang thiết kế thanh lịch, tao nhã với cân nặng chỉ nhẹ vỏn vẹn 1.41 kg
",,,15.490.000 đ,Intel Iris Xe Graphics,"Intel Core i7-1165G7 (4 lõi / 8 luồng, 2.8 / 4.7GHz, 12MB)",16GB,DDR4-3200,2 khe nâng cấp tối đa 16GB (8GB Onboard + 8GB SO-DIMM),512GB SSD M.2 2242 PCIe 4.0x4 NVMe,Vỏ nhựa,Firmware TPM 2.0,Không,Tấm nền IPS,14 inches,1920 x 1080 pixels (FullHD),"Màn hình chống chói
Độ sáng 300nits",HD 720p với màn trập camera,Có,Windows 11 Home Single Language,Wi-Fi 11ac 2x2,Bluetooth 5.0,"Âm thanh độ phân giải cao (HD)
Realtek ALC3287 codec
Stereo speakers, 1.5W x2
Dolby Audio","Ổ cứng SSD, Wi-Fi 6, Bảo mật vân tay",45Wh,324.2 x 215.7 x 19.9 mm (W x D x H),1.41 kg,"1x USB 2.0
1x USB 3.2 Gen 1
1x USB-C 3.2 Gen 1 (chỉ hỗ trợ truyền dữ liệu)
1x HDMI 1.4b
1x Đầu đọc thẻ
1x Headphone / microphone combo jack (3.5mm)
1x Đầu nối nguồn",,,,,,,,,
Gaming,Laptop Asus TUF Gaming F15 FX506HE-HN377W,19,"Màn hình 15.6 inch cùng tần số quét 144Hz cho tốc độ cho gameplay siêu mượt, hình ảnh cực rõ nét
Trang bị bộ vi xử lý Intel Core i7-11800H mạnh mẽ, cân mọi ứng dụng, tác vụ văn phòng, thiết kế
Card đồ họa RTX 3050 Ti hỗ trợ chơi mọi tựa game nặng nhẹ cực mướt
Hỗ trợ ram tối đa 32GB mở cùng lúc hàng chục tabs trên Google Chrome mà không lo bị giật lag
Bàn phím 1-Zone RGB giúp bạn thể thể hiện phong cách độc đáo của riêng mình
",,,19.990.000 đ,,"Intel Core i7-11800H 2.3 GHz (24M Cache, up to 4.6 GHz, 8 lõi)",8GB,DDR4-3200 SO-DIMM,2 khe SO-DIMM (Nâng cấp tối đa 32GB),512GB PCIe 3.0 NVMe M.2 SSD (1 khe SSD M.2 trống nâng cấp tối đa đến 1TB),,"Mật khẩu quản trị viên BIOS và bảo vệ mật khẩu người dùng
Khe bảo mật Kensington
Mô-đun nền tảng đáng tin cậy (Firmware TPM)",Không,Tấm nền IPS,15.6 inches,1920 x 1080 pixels (FullHD),"Độ sáng 250 nits
Độ phủ màu 45% NTSC, 62.5% SRGB, 47.34% Adobe
Màn hình chống chói
Adaptive-Sync",720P HD camera,,Windows 11 Home,Wi-Fi 6 (802.11ax) (Dual band) 2*2,Bluetooth 5.3,"Công nghệ khử tiếng ồn AI
DTS software
Hỗ trợ Microsoft Cortana trường gần/Trường xa","Ổ cứng SSD, Wi-Fi 6","48WHrs, 3S1P, 3-cell Li-ion",35.9 x 25.6 x 2.28 ~ 2.45 cm (W x D x H),2.30 kg,"1x RJ45 LAN
3x USB 3.2 Gen 1 Type-A
1x Thunderbolt 4 hỗ trợ DisplayPort
1x HDMI 2.0b
1x 3.5mm Combo Audio Jack",144Hz,1-Zone RGB,,,"NVIDIA GeForce RTX 3050 Ti 4GB GDDR6
Intel UHD Graphics",,,,
Sinh vien,Laptop HP Pavilion 15-EG2089TU 7C0R1PA,2,"Sở hữu thiết kế tối giản thiết kế gọn nhẹ cùng khối lượng chỉ 1.75 kg có thể bỏ máy gọn gàng vào balo và mang theo đến bất kì nơi nào, từ lớp học tới cơ quan mà không gặp phải bất kì trở ngại nào.
Màn hình 15.6 inch, độ phân giải Full HD, không chỉ mang đến chất lượng hình ảnh sắc nét, sống động với màn hình lớn mà còn đảm bảo những giây phút giải trí hoàn hảo.
Bộ vi xử lý Intel Core i7-1260P cực kì mạnh mẽ mang đến những cải tiến vượt bậc giúp tiết kiệm năng lượng kéo dài đáng kể thời gian sử dụng.
8GB RAM với khả năng đa nhiệm mượt mà, bạn có thể đồng thời mở nhiều tab và ứng dụng phục vụ cho công việc của mình mà không xảy ra tình trạng giật, lag.
Ổ cứng dung lượng lớn 512GB cho bạn một không gian lưu trữ lớn mà đồng thời còn giúp cho việc khởi động máy và mở các ứng dụng trở nên nhanh chóng hơn.
Touchpad có diện tích khá rộng, được phủ một lớp nhám mịn giúp cho việc thao tác chuột trở nên thuận tiện hơn.
",,,18.490.000 đ,Intel Iris Xe Graphics,"Intel Core i7-1260P, 12 nhân / 16 luồng, 18MB Intel Smart Cache",8GB,DDR4 3200MHz (2 x 4GB),2 x DDR4 3200MHz (Đã sử dụng),512GB SSD PCIe NVMe M.2,Vỏ kim loại,,Không,Tấm nền IPS,15.6 inches,1920 x 1080 pixels (FullHD),"Bright View
Độ sáng 250nits
Độ phủ màu 45% NTSC
Tần số quét 60Hz",HP Wide Vision 720p HD với micrô kỹ thuật số dãy kép tích hợp,,Windows 11 Home 64bit,Wifi Realtek RTL8822CE 802.11a/b/g/n/ac (2x2),Bluetooth 5.0 Combo,,"Ổ cứng SSD, Wi-Fi 6",3 Cell 41 WHrs 3440mAh,36.02 x 23.4 x 1.79 cm (W x D x H),1.75 kg,"1x USB Type-C (Sạc, DisplayPort 1.4, HP ngủ và sạc)
2x USB 3.0 Type-A
1x HDMI 2.0
1x Headphone/microphone combo",,,,,,,,,
Gaming,Laptop Asus Gaming ROG Zephyrus G14 GA402NJ-L4056W,0,"Laptop gaming mạnh mẽ với CPU AMD Ryzen 7 7735HS xử lý mọi ứng dụng và trò chơi
GPU GeForce RTX 3050 mang lại hiệu suất tối thượng cho game thủ và nhà sáng tạo video
RAM 16GB cùng ổ cứng 512GB cho khả năng xử lý đa nhiệm, hỗ trợ lưu trữ game, tài liệu nhanh chóng
Màn hình 14 inch Full HD cùng tấm nền IPS giúp tái hiện màu sắc sống động như thật
Âm thanh Dolby Atmos giúp mọi trải nghiệm giải trí, làm việc chân thực hơn bao giờ hết
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Van phong,Laptop Asus ExpertBook B1 B1400CBA-EB0641W,0,"Sở hữu thiết kế mỏng nhẹ với trọng lượng chỉ 1.45 kg cho khả năng linh hoạt sử dụng
CPU Intel Core i5-1235U hỗ trợ giải quyết nhanh gọn mọi tác vụ học tập, văn phòng
RAM 8GB chuẩn DDR4 giúp mở hàng chục tabs Chrome mà không lo lag, giật
Dung lượng lưu trữ rộng rãi, lưu trữ mọi file, dữ liệu học tập,... với 512GB SSD
Trang bị kết nối WiFi 6 tự động kết nối với tín hiệu WiFi mạnh nhất, đảm bảo kết nối ổn định, nhanh chóng
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sinh vien,Laptop Dell Vostro 3520 5M2TT2,0,"Sở hữu thiết kế máu xám sang trọng, trọng lượng vừa phải giúp bạn dễ dàng mang theo bên mình
Trang bị chip i5 thế hệ 12 giúp giải quyết tốt các công việc văn phòng cùng chơi game nhẹ
RAM 8GB cùng ổ cứng SSD 512 cho phép bạn mở nhiều tab làm việc mà không lo giật lag
Màn hình 15.6 inch cùng tần số quét 120Hz giúp bạn có được những thước phim hình ảnh sống động
",,,16.290.000 đ,Intel UHD Graphics,"Intel Core i5 Alder Lake - 1235U 1.30 GHz ( up to 4.4 GHz, 10 nhân / 12 luồng, 12 MB Cache)",8GB,DDR4 3200 MHz,2 khe tối đa 16GB,512GB SSD NVMe PCIe,Vỏ nhựa,,Không,Tấm nền IPS,15.6 inches,1920 x 1080 pixels (FullHD),"Chống chói Anti Glare
LED Backlit
250 nits",HD webcam,Có,Windows 11 Home SL,Wi-Fi 6 (80211ax),Bluetooth 5.1,Cirrus Logic High Definition Audio,"Ổ cứng SSD, Wi-Fi 6",41Wh 3-cell Li-ion,358.5 x 235.56 x 19 mm,1.67 kg,"1 x USB 2.0
1 x Jack tai nghe 3.5 mm
2 x USB 3.2
1 x LAN (RJ45)
1 x HDMI",120Hz,,Dell,,,,,,
Gaming,Laptop Asus Gaming ROG Zephyrus G16 GU603VU-N3898W,2,"CPU I7-13620H cho phép bạn chiến thỏa thích các tựa game nặng máy như AAA
Ổ cứng  SSD 512Gb có không gian lưu trữ to lớn, giúp bạn được thuận lợi hơn trong công việc
RAM 16GB cho biết thao tác nhiều lúc các tab mà không lo nóng máy, load chậm
Màn hình 16 inch cùng độ phủ màu sRGB 100% cho phép bạn trải nghiệm được đồ họa, hình ảnh sắc nét cao trong game
Bàn phím Chiclet có đèn nền RGB giúp bạn tự tin làm việc trong môi trường thiếu sáng
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sinh vien,Laptop MSI Modern 14 B11SBU-668VN,56,"Chip Core i5-1155G7 cùng card rời MX450 cho khả năng chiến các tựa game như Fifa, LoL, edit video ngắn
Ram 8GB, ổ cứng SSD 512GB mang đến tốc độ xử lý nhanh cùng đa nhiệm mượt mà.
Màn hình 14.0 inch độ phân giải Full HD - thoả sức giải trí.
Đàm thoại rõ ràng - công nghệ MSI Sound Tune phát hiện giọng nói bằng AI giúp đảm bảo chất lượng cuộc gọi.
Thiết kế vỏ nhựa cứng cáp, nặng 1.3 kg thuận tiện di chuyển, mang theo.
Máy đi kèm Windows 10 bản quyền.
",,,13.990.000 đ,NVIDIA GeForce MX450 2GB GDDR5,"Intel® Core™ i5-1155G7 (2.50GHz - 4.50GHz, 4 nhân 8 luồng, 8MB Cache)",8GB,DDR4 3200MHz,,512GB SSD PCIe NVMe™ Gen3x4,Vỏ kim loại,,Không,Tấm nền IPS,14 inches,1920 x 1080 pixels (FullHD),"60Hz, 45%NTSC",HD 720p,Có,Windows 10 Home SL,802.11 ax Wi-Fi 6,v5.1,2x 2W Speaker,"Ổ cứng SSD, Wi-Fi 6",3 Cell 52WHr,319 x 219 x 16.9-18.1 (mm),1.3 kg,"1x Type-C USB3.2 Gen2
2x Type-A USB3.2 Gen2
1x (4K @ 60Hz) HDMI
1x Mic-in/Headphone-out Combo Jack",,,,,,,,,
Sinh vien,Laptop LG Gram 2023 15Z90RT-G.AH55A5,0,"Chip i5-1340P kết hợp cùng đồ họa Intel Iris Xe Graphics giúp bạn giải quyết tốt các tác vụ văn phòng cũng như chỉnh sửa nhẹ hình ảnh
Màn hình 15.6 inch có độ phân giải Full HD kết hợp cùng độ phủ màu DCI-P3 100% đem trải nghiệm hình ảnh, video chân thật
RAM 16GB cùng ổ cứng SSD 512GB đem lại không gian lưu trữ dữ liệu rộng lớn
Thiết kế laptop mỏng nhẹ, trọng lượng chỉ 990g thích hợp để bạn mang theo đi học, đi làm đều được
",,,38.990.000 đ,Intel Iris Xe Graphics,"Intel Core i5-1340P 1.9 GHz (up to 4.6 GHz, 12MB Cache, 12 lõi/luồng)",16GB,LPDDR5 6000MHz,1 thanh RAM 16GB,512GB SSD NVMe Gen 4 (1 khe cắm SSD M.2 trống),Vỏ kim loại,,Không,Tấm nền OLED/AMOLED,15.6 inches,1920 x 1080 pixels (FullHD),"Màn hình chống chói
Thời gian phản hồi 0.2 ms
Độ sáng 350 nits
Công nghệ Eye care
Độ phủ màu DCI-P3 100%",Webcam IR FHD IR,,Windows 11 Home,Intel Wireless-AX211,BT 5.1,Âm thanh HD cùng với Dolby Atmos,"Ổ cứng SSD, Wi-Fi 6",60Wh Li-Ion,35.6 x 22.76 x 10.99~12.55 cm (Dài x Rộng x Cao),990 g,"3x USB 4 Gen3x2 Type C
1x Jack cắm tai nghe
1x DC-in",60Hz,,,,,,,,
Sinh vien,Laptop Dell Latitude E7450,0,"Sở hữu kích thước nhỏ gọn với trọng lượng máy chỉ 1.55kg
CPU Intel Core i3-5010U cân mọi tác vụ học tập, văn phòng
RAM 4GB hỗ trợ làm việc, lướt web mà không lo lag, giật
Ổ cứng 120 GB SSD cho không gian lưu trữ đủ dùng
Màn hình 14 inch độ phân giải HD sắc nét
",,,Giá Liên Hệ,,"Intel Core i3-5010U, 3 MB",4GB,DDR3L SDRAM (1600 MHz),2 khe cắm SODIMM (Nâng cấp tối đa 16 GB),SSD 120GB,,,Không,,14 inches,1366 x 768 pixels,Tần số quét 60Hz,HD camera,Có,,,Bluetooth 4.0,"Âm thanh độ nét cao, 2x 2 W",Ổ cứng SSD,3 cell,18.8 x 337 x 231.5 mm (Cao x Rộng x Sâu),1.55 kg,"1x Jack headphone
1x HDMI, mDP
1x RJ-45
3x USB 3.0
1x Docking
1x uSIM",,,,,,,Intel HD Graphics 5500,,
Sinh vien,Laptop MSI Modern 14 C13M-458VN,0,"Sở hữu thiết kế cực mỏng nhẹ với trọng lượng chỉ 1.4 kg
CPU Intel Core i5-1335U hỗ trợ bạn làm việc, học tập, giải trí một cách đơn giản, trơn tru
Chip đồ họa Intel Iris Xe Graphics đáp ứng nhu cầu đồ họa văn phòng đơn giản
RAM 8GB cho tốc độ đa nhiệm, không giật lag khi mở chục tabs Chrome cùng lúc
Ổ cứng 512GB SSD mang đến dung lượng lưu trữ cực lớn thoải mái tải về phần mềm, tải phim
Màn hình 14 inch Full HD và tấm nền IPS hỗ trợ làm việc, giải trí cực nét
",,,15.690.000 đ,,"Intel Core i5-1335U (1.3 GHz - 4.6GHz, 12MB, 10 lõi / 12 luồng)",8GB,DDR4 3200MHz Onboard,,512GB SSD M.2 NVMe / 1 x M.2 NVMe,,,Không,Tấm nền IPS,14 inches,1920 x 1080 pixels (FullHD),,HD webcam,Có,Windows 11 Home,WiFi 802.11ax,Bluetooth 5.2,,"Ổ cứng SSD, Wi-Fi 6",3 cell 40 Wh,319.9 x 223 x 19.35 mm,1.4 kg,"1x HDMI
1x USB Type C / DisplayPort / Sạc
1x USB 3.2
2x USB 2.0
1x micro SD
Audio combo",,LED,,,,,,,
Van phong,Laptop Acer Swift X SFX16-51G-516Q NX.AYKSV.002,6,"Core i5 gen 11 và RTX 3050 - Phục vụ tốt cho việc chơi game hay đồ hoạ kỹ thuật
16GB Ram, 512GB SSD - Đa nhiệm tốt, khởi động ứng dụng nhanh chóng hơn
Màn hình lớn 16.1 inch tích hợp công nghệ chống chói - bảo vệt mắt khi sử dụng
Hỗ trợ cổng thunderbolt 4 - Tốc độ truyền tải cực nhanh, cho phép xuất hình ảnh 4K
",,,22.990.000 đ,NVIDIA GeForce RTX 3050 4GB DDR6,Intel Core i5-11320H,16GB,LPDDR4X 4266MHz,Không hỗ trợ nâng cấp,512GB PCIe NVMe SSD,Vỏ kim loại,Cảm biến vân tay,Không,Tấm nền TFT,16.1 inches,1920 x 1080 pixels (FullHD),"Hỗ trợ dải màu 100% sRGB, Công nghệ Acer ComfyView",720P,Không,Windows 11 Home SL,802.11 ax,v5.1,"Loa kép, công nghệ Acer TrueHarmony","Ổ cứng SSD, Wi-Fi 6, Bảo mật vân tay",59Wh,367.8 (W) x 236.1 (D) x 18.9 (H) mm,1.9kg,"1 x USB Type-C port: USB 3.2 Gen 2
1 x HDMI 2.0
1 x combo mic tai nghe 3.5mm",,LED đơn sắc,,,,,,,
Sinh vien,Laptop Lenovo IdeaPad 3 15ITL6 82H80388VN,19,"Mang thiết kế hiện đại với tone màu xám thanh lịch
CPU Intel Core i5-1135G7 chinh phục nhanh chóng các tác vụ văn phòng
Card đồ họa Intel Iris Xe Graphics hỗ trợ chỉnh sửa hình ảnh cơ bản
RAM 8 GB và ổ cứng SSD 256 GB đa nhiệm mượt mà, hỗ trợ truy xuất dữ liệu nhanh chóng
Màn hình 15.6 inch cùng công nghệ Anti Glare hạn chế tình trạng chói, loá ở nơi có ánh sáng mạnh
",,,11.090.000 đ,,"Intel Core i5-1155G7 (2.5 / 4.5GHz, 8MB, 4 lõi / 8 luồng)",8GB,DDR4-3200 Onboard,2 khe (8GB Onboard + 8GB SO-DIMM) tối đa 16GB,"256GB SSD M.2 2242 PCIe 3.0x4 NVMe
Có thể tháo ra nâng cấp tối đa 1TB",Vỏ nhựa,Firmware TPM 2.0,Không,Tấm nền TN,15.6 inches,1920 x 1080 pixels (FullHD),"Độ sáng 250nits
Màn hình chống chói",HD 720p với màn trập camera,Có,Windows 11 Home,Wi-Fi 11ac 2x2,Bluetooth 5.0,"High Definition (HD) Audio
Realtek ALC3287 codec
Loa âm thanh nổi
1.5W x2
Dolby Audio","Ổ cứng SSD, Wi-Fi 6, Bảo mật vân tay",45Wh,359.2 x 236.5 x 19.9 mm (W x D x H),1.65 kg,"1x USB 2.0
1x USB 3.2 Gen 1
1x USB-C 3.2 Gen 1 (Chỉ hỗ trợ truyền dữ liệu)
1x HDMI 1.4b
1x Đầu đọc thẻ
1x Headphone / microphone combo jack (3.5mm)
1x Đầu nối nguồn",,,,,,,Intel Iris Xe Graphics,,
Sinh vien,Laptop HP 14S-DQ2626TU 6R9M5PA,0,"Cấu hình chuyên phụ vụ công việc - Intel Core i3-1115G4
Ổ SSD 256GB - Khởi động máy và mở ứng dụng nhanh hơn
RAM 8GB - Cho phép mở cùng lúc nhiều tab trình duyệt hay văn bản
Webcam 720p đáp ứng tốt cho việc học online hay tổ chức hội họp
",,,Giá Liên Hệ,Intel UHD Graphics,Intel Core i3-1115G4,8GB,DDR4 tốc độ bus 3200MHz,(4GB x 2),256GB PCIe NVMe M.2 SSD,Vỏ nhựa,,Không,Tấm nền IPS,14 inches,1366 x 768 pixels,,720P,Có,Windows 11 Home SL,802.11a/b/g/n/ac,v5.0,2 loa,Ổ cứng SSD,"3-cell, 41 Wh Li-ion",32.4 x 22.5 x 1.79 cm,1.46 kg,"1 SuperSpeed USB Type-C® 5Gbps
2 SuperSpeed USB Type-A 5Gbps
1 HDMI 1.4b
1 combo mic tai nghe 3.5 mm
1 khe đọc thẻ nhớ",,,,,,,,,
Gaming,Laptop Gaming MSI Bravo 15 B5DD-264VN,73,"""- Chip R7-5800H cùng card rời RX5500M cân tốt đa số các tự game hiện nay, đáp ứng tốt nhu cầu edit hình ảnh, video ngắn
Ram 8GB với 1 khe cắm có thể nâng cấp tối đa lên 32GB cùng ổ cứng SSD 512GB mang đến tốc độ xử lý nhanh cùng đa nhiệm mượt mà.
Màn hình 15.6 inches 144Hz vượt qua giới hạn 60FPS khi chơi game.
Tích hợp web cam HD 720p thoả sức trò chuyện khi chiến game.
Trọng lượng 1.96 kg cho cảm giác cầm chắc tay.
Máy đi kèm Windows 10 Home bản quyền.""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sinh vien,Laptop Dell Latitude 5480,0,"Thiết kế với lớp vỏ đen lịch lãm cũng bộ khung máy chắc chắn
Màn hình 14 inch độ phân giải HD hỗ trợ hình ảnh hiển thị được sắc nét sinh động hơn
Chip Intel Core i5-6200U đáp ứng các nhu cầu học tập, giải trí với một số tựa game nhẹ
Card đồ họa Intel HD Graphics 520 cho phép chỉnh sửa ảnh cơ bản
SSD 256GB hỗ trợ công tác khởi động máy và xuất trình dữ liệu nhanh hơn
",,,Giá Liên Hệ,,Intel Core i5-6200U 2.3GHz,8GB,DDR4 SDRAM,,256GB SSD,,,,,14 inches,1366 x 768 pixels,,,,Windows 10 Pro 64bit,802.11a/b/g/n/ac,,,"Ổ cứng SSD, Wi-Fi 6",,33.27 x 22.86 x 2.03 cm,60.10 g,,,,,,,,Intel HD Graphics 520,,
Sinh vien,Laptop Lenovo IdeaPad Flex 5 14IAU7 82R700JLVN,1,"Sở hữu thiết kế tinh tế với tone màu xám đẹp mắt
Cân mọi tác vụ học tập, văn phòng với CPU Intel i5-1235U
Màn hình cảm ứng 14 inch 2.2K cực sắc nét hỗ trợ học tập, làm việc, sáng tạo thỏa thích
RAM 16GB đa nhiệm cùng ổ cứng 512GB rộng rãi hỗ trợ lưu trữ nhiều file, tài liệu học tập
Trang bị đầy đủ cổng kết nối giúp truyền tải dữ liệu nhanh chóng
",,,Giá Liên Hệ,Intel Iris Xe Graphics,"Intel Core i5-1235U (10C (2P + 8E) / 12T, P-core 1.3 / 4.4GHz, E-core 0.9 / 3.3GHz, 12MB)",16GB,LPDDR4x-4266 Onboard,,512GB SSD M.2 2242 PCIe 4.0x4 NVMe,Vỏ kim loại,Firmware TPM 2.0,Có,Tấm nền IPS,14 inches,2240 x 1400 pixels,"Độ sáng 300nits
Độ phủ màu 100% sRGB
TÜV Low Blue Light",FHD 1080p với màn trập camera,Có,Windows 11 Home,"Wi-Fi 6, 11ax 2x2",Bluetooth 5.1,"Âm thanh độ phân giải cao (HD)
Realtek ALC3287 codec
2W x2
Dolby Audio","Ổ cứng SSD, Wi-Fi 6, Màn hình cảm ứng",52.5Wh,313.1 x 224.9 x 17.4 mm (W x D x H),1.5 kg,"1x USB 3.2 Gen 1
1x USB 3.2 Gen 1 (Always On)
1x Thunderbolt 4 / USB4 40Gbps (Truyền dữ liệu, Power Delivery 3.0, DisplayPort 1.4a)
1x HDMI 1.4b
1x Đầu đọc thẻ
1x Headphone / microphone combo jack (3.5mm)
1x Đầu nối nguồn",,,,,,,,,
